date,weekday,hour,building,consumption_kwh,temperature_c,occupancy_pct
2024-02-01,Thu,0,Building A,65.5,-8.7,11
2024-02-01,Thu,0,Building B,73.6,-8.7,10
2024-02-01,Thu,0,Building C,55.7,-8.7,10
2024-02-01,Thu,0,Building D,65.3,-8.7,11
2024-02-01,Thu,1,Building A,56.5,-9.3,10
2024-02-01,Thu,1,Building B,72.3,-9.3,10
2024-02-01,Thu,1,Building C,53.4,-9.3,11
2024-02-01,Thu,1,Building D,62.2,-9.3,11
2024-02-01,Thu,2,Building A,65.3,-8.7,9
2024-02-01,Thu,2,Building B,74.3,-8.7,9
2024-02-01,Thu,2,Building C,51.9,-8.7,11
2024-02-01,Thu,2,Building D,64,-8.7,10
2024-02-01,Thu,3,Building A,53.8,-6.5,11
2024-02-01,Thu,3,Building B,56.5,-6.5,11
2024-02-01,Thu,3,Building C,50.1,-6.5,11
2024-02-01,Thu,3,Building D,61,-6.5,11
2024-02-01,Thu,4,Building A,50.6,-5.4,11
2024-02-01,Thu,4,Building B,54.9,-5.4,11
2024-02-01,Thu,4,Building C,48,-5.4,11
2024-02-01,Thu,4,Building D,52,-5.4,11
2024-02-01,Thu,5,Building A,60.4,-3.1,15
2024-02-01,Thu,5,Building B,60.8,-3.1,16
2024-02-01,Thu,5,Building C,53.1,-3.1,14
2024-02-01,Thu,5,Building D,51.9,-3.1,16
2024-02-01,Thu,6,Building A,52.6,-1,33
2024-02-01,Thu,6,Building B,70.1,-1,32
2024-02-01,Thu,6,Building C,53.4,-1,29
2024-02-01,Thu,6,Building D,53,-1,33
2024-02-01,Thu,7,Building A,61.1,1,55
2024-02-01,Thu,7,Building B,69.2,1,56
2024-02-01,Thu,7,Building C,56.2,1,51
2024-02-01,Thu,7,Building D,63.9,1,55
2024-02-01,Thu,8,Building A,58.8,3.1,88
2024-02-01,Thu,8,Building B,71.2,3.1,86
2024-02-01,Thu,8,Building C,54.4,3.1,83
2024-02-01,Thu,8,Building D,71,3.1,84
2024-02-01,Thu,9,Building A,70.5,4.3,100
2024-02-01,Thu,9,Building B,74.7,4.3,100
2024-02-01,Thu,9,Building C,55.2,4.3,100
2024-02-01,Thu,9,Building D,80,4.3,100
2024-02-01,Thu,10,Building A,63.9,5.9,100
2024-02-01,Thu,10,Building B,76.8,5.9,100
2024-02-01,Thu,10,Building C,51.5,5.9,87
2024-02-01,Thu,10,Building D,70.2,5.9,100
2024-02-01,Thu,11,Building A,70.7,6.2,98
2024-02-01,Thu,11,Building B,73.2,6.2,96
2024-02-01,Thu,11,Building C,63.2,6.2,94
2024-02-01,Thu,11,Building D,75.9,6.2,100
2024-02-01,Thu,12,Building A,56.4,7,87
2024-02-01,Thu,12,Building B,70,7,94
2024-02-01,Thu,12,Building C,57.6,7,80
2024-02-01,Thu,12,Building D,72.4,7,82
2024-02-01,Thu,13,Building A,64.2,6.4,100
2024-02-01,Thu,13,Building B,74.7,6.4,93
2024-02-01,Thu,13,Building C,56.5,6.4,100
2024-02-01,Thu,13,Building D,73.1,6.4,91
2024-02-01,Thu,14,Building A,62.2,5.7,100
2024-02-01,Thu,14,Building B,73,5.7,94
2024-02-01,Thu,14,Building C,55.2,5.7,92
2024-02-01,Thu,14,Building D,64.4,5.7,100
2024-02-01,Thu,15,Building A,75,5.1,100
2024-02-01,Thu,15,Building B,75.5,5.1,95
2024-02-01,Thu,15,Building C,52.3,5.1,85
2024-02-01,Thu,15,Building D,73.8,5.1,96
2024-02-01,Thu,16,Building A,67.5,2.7,79
2024-02-01,Thu,16,Building B,77.6,2.7,88
2024-02-01,Thu,16,Building C,62.7,2.7,80
2024-02-01,Thu,16,Building D,72.7,2.7,77
2024-02-01,Thu,17,Building A,64.2,1.1,58
2024-02-01,Thu,17,Building B,71,1.1,57
2024-02-01,Thu,17,Building C,57,1.1,63
2024-02-01,Thu,17,Building D,61.1,1.1,65
2024-02-01,Thu,18,Building A,58.3,-1,45
2024-02-01,Thu,18,Building B,70.5,-1,42
2024-02-01,Thu,18,Building C,52,-1,41
2024-02-01,Thu,18,Building D,58.7,-1,36
2024-02-01,Thu,19,Building A,65.2,-3.3,26
2024-02-01,Thu,19,Building B,60.6,-3.3,30
2024-02-01,Thu,19,Building C,58.9,-3.3,29
2024-02-01,Thu,19,Building D,67.4,-3.3,27
2024-02-01,Thu,20,Building A,66.4,-4.7,27
2024-02-01,Thu,20,Building B,75,-4.7,28
2024-02-01,Thu,20,Building C,57.9,-4.7,24
2024-02-01,Thu,20,Building D,65.4,-4.7,27
