month,city,avg_temp,precipitation
Jan,New York,33,3.5
Feb,New York,35,3.1
Mar,New York,44,4.0
Apr,New York,54,3.9
May,New York,64,4.5
Jun,New York,74,3.8
Jul,New York,80,4.6
Aug,New York,78,4.4
Sep,New York,71,3.9
Oct,New York,59,3.6
Nov,New York,48,3.8
Dec,New York,37,3.5
Jan,Los Angeles,58,3.1
Feb,Los Angeles,59,3.8
Mar,Los Angeles,60,2.4
Apr,Los Angeles,62,0.8
May,Los Angeles,65,0.3
Jun,Los Angeles,69,0.1
Jul,Los Angeles,74,0.0
Aug,Los Angeles,75,0.1
Sep,Los Angeles,74,0.2
Oct,Los Angeles,69,0.6
Nov,Los Angeles,63,1.0
Dec,Los Angeles,58,2.5
Jan,Chicago,26,1.7
Feb,Chicago,29,1.5
Mar,Chicago,39,2.7
Apr,Chicago,50,3.6
May,Chicago,60,3.4
Jun,Chicago,71,3.7
Jul,Chicago,76,3.6
Aug,Chicago,75,4.1
Sep,Chicago,67,3.3
Oct,Chicago,55,3.0
Nov,Chicago,41,2.6
Dec,Chicago,29,2.1
