order_date,year_month,category,subcategory,region,revenue,quantity
2023-01-17,2023-01,Sports,Apparel,West,200.12,3
2023-01-05,2023-01,Electronics,Laptops,Southeast,5268.61,3
2023-01-21,2023-01,Clothing,Shirts,Northeast,207.11,4
2023-01-27,2023-01,Clothing,Shirts,West,63.64,4
2023-01-30,2023-01,Sports,Fitness,Southeast,199.07,1
2023-01-09,2023-01,Home,Lighting,Southeast,99.52,1
2023-01-18,2023-01,Home,Kitchen,Midwest,932.45,4
2023-01-08,2023-01,Sports,Outdoor,West,216.5,4
2023-01-09,2023-01,Electronics,Phones,Northeast,1403.79,4
2023-01-08,2023-01,Clothing,Pants,Midwest,231.34,4
2023-01-19,2023-01,Home,Furniture,Southeast,927.94,4
2023-01-31,2023-01,Electronics,Headphones,Northeast,132.04,1
2023-01-01,2023-01,Electronics,Phones,Midwest,1911.7,2
2023-01-12,2023-01,Clothing,Pants,Southeast,89.68,4
2023-01-14,2023-01,Sports,Fitness,Midwest,658.38,4
2023-01-20,2023-01,Clothing,Pants,Northeast,43.42,2
2023-01-17,2023-01,Clothing,Shoes,West,97.56,1
2023-01-30,2023-01,Home,Kitchen,Northeast,168.75,4
2023-01-21,2023-01,Clothing,Shoes,Midwest,252.06,2
2023-01-04,2023-01,Clothing,Shirts,West,85.17,3
2023-01-16,2023-01,Electronics,Laptops,Midwest,4214.67,4
2023-01-01,2023-01,Sports,Apparel,Midwest,184.75,3
2023-01-15,2023-01,Home,Furniture,Northeast,497.06,2
2023-01-31,2023-01,Home,Furniture,Midwest,1455.69,3
2023-01-28,2023-01,Clothing,Shirts,Midwest,138.71,3
2023-01-08,2023-01,Sports,Apparel,Northeast,17.39,1
2023-01-06,2023-01,Clothing,Shirts,West,25,1
2023-01-07,2023-01,Clothing,Shirts,West,57.56,4
2023-01-03,2023-01,Home,Furniture,West,1043.15,2
2023-01-18,2023-01,Clothing,Shoes,Midwest,210.92,2
2023-01-10,2023-01,Home,Lighting,West,78.82,1
2023-01-03,2023-01,Sports,Outdoor,Midwest,871.17,4
2023-01-26,2023-01,Sports,Fitness,Southeast,127.28,1
2023-01-15,2023-01,Home,Kitchen,West,564.09,3
2023-01-01,2023-01,Sports,Outdoor,Southeast,59.16,1
2023-01-01,2023-01,Electronics,Headphones,Northeast,197.38,3
2023-01-05,2023-01,Electronics,Laptops,Northeast,4680.64,3
2023-01-11,2023-01,Clothing,Shoes,Southeast,402.94,4
2023-01-21,2023-01,Clothing,Shirts,Northeast,31.09,2
2023-01-17,2023-01,Electronics,Headphones,Midwest,123.82,1
2023-01-09,2023-01,Clothing,Shoes,Northeast,409.33,4
2023-01-14,2023-01,Sports,Fitness,Midwest,166.69,4
2023-01-17,2023-01,Home,Furniture,Midwest,3965.92,4
2023-01-03,2023-01,Electronics,Phones,Southeast,490.03,1
2023-01-20,2023-01,Electronics,Laptops,Midwest,1023.37,1
2023-01-15,2023-01,Clothing,Shirts,Midwest,178.97,4
2023-01-02,2023-01,Sports,Apparel,Midwest,128.9,2
2023-01-04,2023-01,Sports,Outdoor,West,236.53,3
2023-01-14,2023-01,Sports,Apparel,Midwest,58.68,3
2023-01-31,2023-01,Electronics,Laptops,Midwest,2389.23,4
2023-01-09,2023-01,Home,Kitchen,Midwest,159.49,1
2023-01-06,2023-01,Home,Kitchen,Midwest,619.6,3
2023-01-29,2023-01,Sports,Fitness,West,255.2,4
2023-01-05,2023-01,Sports,Outdoor,Southeast,59.45,2
2023-01-17,2023-01,Sports,Fitness,Southeast,202.55,2
2023-01-10,2023-01,Electronics,Phones,Southeast,3062.65,4
2023-01-29,2023-01,Electronics,Laptops,Southeast,3198.04,4
2023-01-06,2023-01,Clothing,Shoes,Southeast,303.46,4
2023-01-20,2023-01,Clothing,Pants,West,109.15,3
2023-01-05,2023-01,Sports,Outdoor,Northeast,200.29,1
2023-01-06,2023-01,Sports,Apparel,Northeast,176.91,2
2023-01-21,2023-01,Home,Kitchen,Southeast,132.12,1
2023-01-29,2023-01,Sports,Fitness,Midwest,104.48,1
2023-01-24,2023-01,Clothing,Pants,West,225.8,3
2023-01-29,2023-01,Sports,Outdoor,West,58.59,1
2023-01-10,2023-01,Clothing,Pants,Northeast,139.43,2
2023-01-27,2023-01,Sports,Apparel,West,32.11,2
2023-01-30,2023-01,Sports,Fitness,West,293.83,2
2023-01-13,2023-01,Electronics,Phones,Midwest,1581.86,3
2023-01-24,2023-01,Sports,Fitness,Southeast,707.87,4
2023-01-10,2023-01,Electronics,Headphones,West,711.76,3
2023-01-03,2023-01,Clothing,Shirts,West,211.98,4
2023-01-22,2023-01,Clothing,Shirts,Southeast,55.63,3
2023-01-23,2023-01,Sports,Outdoor,Northeast,874.7,4
2023-01-10,2023-01,Sports,Apparel,Midwest,140.34,3
2023-01-06,2023-01,Electronics,Headphones,Southeast,269.01,2
2023-01-30,2023-01,Sports,Apparel,Midwest,142.05,3
2023-01-27,2023-01,Clothing,Shirts,Southeast,34.27,2
2023-01-14,2023-01,Electronics,Laptops,Southeast,862.72,1
2023-01-03,2023-01,Electronics,Headphones,Northeast,327.22,4
2023-01-14,2023-01,Sports,Outdoor,West,374.98,2
2023-01-29,2023-01,Sports,Apparel,Midwest,189.86,3
2023-01-28,2023-01,Sports,Apparel,West,35.65,1
2023-01-09,2023-01,Electronics,Headphones,West,205.25,3
2023-01-01,2023-01,Clothing,Shirts,Midwest,198.26,4
2023-01-22,2023-01,Electronics,Laptops,Northeast,6559.95,4
2023-02-27,2023-02,Sports,Outdoor,Southeast,218.77,1
2023-02-25,2023-02,Sports,Apparel,West,109.27,2
2023-02-17,2023-02,Home,Kitchen,West,1032.89,4
2023-02-23,2023-02,Sports,Apparel,Northeast,125.66,2
2023-02-27,2023-02,Home,Lighting,Northeast,290.12,4
2023-02-10,2023-02,Home,Furniture,Northeast,2337.18,2
2023-02-28,2023-02,Home,Furniture,Southeast,890.27,2
2023-02-22,2023-02,Electronics,Phones,Northeast,1381.02,4
2023-02-18,2023-02,Home,Lighting,Midwest,162.67,1
2023-02-05,2023-02,Home,Lighting,West,317.92,3
2023-02-17,2023-02,Home,Lighting,Southeast,350.34,3
2023-02-13,2023-02,Clothing,Shirts,Midwest,68.19,2
2023-02-06,2023-02,Clothing,Shirts,Southeast,18.17,1
2023-02-21,2023-02,Sports,Outdoor,West,100.17,4
2023-02-16,2023-02,Clothing,Pants,West,125.21,3
2023-02-26,2023-02,Clothing,Pants,Midwest,175.21,3
2023-02-15,2023-02,Electronics,Laptops,West,1985.09,3
2023-02-14,2023-02,Sports,Apparel,Northeast,42.53,1
2023-02-16,2023-02,Home,Lighting,Southeast,172.54,3
2023-02-01,2023-02,Home,Lighting,Northeast,151.56,1
2023-02-23,2023-02,Sports,Fitness,Southeast,836.31,4
2023-02-03,2023-02,Electronics,Headphones,Northeast,115.09,3
2023-02-01,2023-02,Electronics,Phones,Southeast,650.01,2
2023-02-28,2023-02,Home,Kitchen,West,439.52,2
2023-02-08,2023-02,Home,Kitchen,Northeast,265.52,1
2023-02-04,2023-02,Electronics,Phones,Southeast,1631.46,4
2023-02-10,2023-02,Home,Lighting,West,175.35,1
2023-02-20,2023-02,Clothing,Pants,Northeast,131.44,2
2023-02-26,2023-02,Sports,Fitness,Midwest,551.33,4
2023-02-13,2023-02,Electronics,Phones,Northeast,3584.92,4
2023-02-10,2023-02,Sports,Outdoor,West,124.26,2
2023-02-28,2023-02,Electronics,Phones,Northeast,1590.74,2
2023-02-18,2023-02,Home,Furniture,West,1207.94,1
2023-02-03,2023-02,Electronics,Phones,Midwest,2603.72,4
2023-02-10,2023-02,Sports,Fitness,Northeast,95.79,3
2023-02-11,2023-02,Home,Furniture,Southeast,278.22,2
2023-02-11,2023-02,Sports,Fitness,West,478.93,3
2023-02-10,2023-02,Electronics,Headphones,Northeast,255.83,2
2023-02-01,2023-02,Electronics,Phones,West,290.87,1
2023-02-03,2023-02,Sports,Apparel,Midwest,134.34,3
2023-02-24,2023-02,Electronics,Headphones,West,257.56,4
2023-02-02,2023-02,Home,Lighting,West,251.18,4
2023-02-22,2023-02,Clothing,Shoes,West,205.87,2
2023-02-17,2023-02,Clothing,Pants,Midwest,144.25,2
2023-02-04,2023-02,Sports,Fitness,Northeast,243.83,3
2023-02-25,2023-02,Home,Kitchen,Northeast,42.93,2
2023-02-23,2023-02,Electronics,Headphones,Northeast,231.68,3
2023-02-12,2023-02,Electronics,Phones,West,776.68,3
2023-02-03,2023-02,Clothing,Shoes,West,375.35,4
2023-02-14,2023-02,Electronics,Phones,West,3219.8,4
2023-02-17,2023-02,Sports,Apparel,Northeast,148.12,2
2023-02-27,2023-02,Sports,Outdoor,Southeast,113.09,4
2023-02-17,2023-02,Sports,Fitness,Southeast,119.19,2
2023-02-25,2023-02,Sports,Apparel,West,169.63,3
2023-02-05,2023-02,Sports,Apparel,West,225.31,4
2023-02-24,2023-02,Home,Lighting,West,98.83,4
2023-02-15,2023-02,Electronics,Phones,West,2159.61,3
2023-02-12,2023-02,Electronics,Laptops,West,1286.88,1
2023-02-22,2023-02,Electronics,Laptops,Southeast,1520.84,2
2023-02-11,2023-02,Electronics,Laptops,Southeast,4766.79,4
2023-02-01,2023-02,Electronics,Laptops,Northeast,2311.08,2
2023-02-12,2023-02,Electronics,Laptops,West,2205.25,2
2023-02-04,2023-02,Electronics,Laptops,Northeast,1206.57,2
2023-02-05,2023-02,Sports,Fitness,Midwest,66.93,2
2023-02-07,2023-02,Clothing,Shirts,Northeast,124.97,3
2023-02-07,2023-02,Clothing,Shoes,Midwest,101.04,2
2023-02-02,2023-02,Home,Furniture,West,2694.83,2
2023-02-21,2023-02,Electronics,Headphones,West,146.72,3
2023-02-03,2023-02,Clothing,Shoes,Northeast,152.71,4
2023-02-26,2023-02,Sports,Fitness,Northeast,75.63,1
2023-02-06,2023-02,Electronics,Headphones,Southeast,216.91,3
2023-02-11,2023-02,Sports,Fitness,West,703.56,4
2023-02-08,2023-02,Clothing,Shoes,Northeast,501.15,4
2023-02-08,2023-02,Clothing,Shoes,Midwest,169.57,4
2023-02-22,2023-02,Electronics,Laptops,Midwest,554.34,1
2023-02-13,2023-02,Electronics,Laptops,Midwest,2984.68,2
2023-02-17,2023-02,Clothing,Pants,Southeast,96.19,2
2023-02-15,2023-02,Clothing,Shirts,Midwest,166.66,3
2023-02-08,2023-02,Home,Kitchen,Northeast,89.48,3
2023-02-06,2023-02,Clothing,Pants,Northeast,80.24,1
2023-02-11,2023-02,Home,Lighting,Midwest,531.22,4
2023-02-01,2023-02,Electronics,Laptops,Midwest,1178.62,2
2023-03-31,2023-03,Electronics,Headphones,Midwest,531.96,3
2023-03-23,2023-03,Home,Furniture,Southeast,812.72,3
2023-03-02,2023-03,Clothing,Shirts,Northeast,38.45,1
2023-03-27,2023-03,Sports,Outdoor,West,257.57,2
2023-03-25,2023-03,Sports,Outdoor,West,146.7,2
2023-03-13,2023-03,Electronics,Headphones,Northeast,563.8,3
2023-03-17,2023-03,Clothing,Shoes,Northeast,234.64,2
2023-03-08,2023-03,Clothing,Pants,West,96.46,2
2023-03-18,2023-03,Sports,Fitness,West,364.68,2
2023-03-08,2023-03,Sports,Fitness,Midwest,250.74,1
2023-03-16,2023-03,Home,Lighting,Northeast,93.87,2
2023-03-23,2023-03,Electronics,Headphones,West,615.7,4
2023-03-15,2023-03,Home,Kitchen,Northeast,363.99,4
2023-03-11,2023-03,Sports,Apparel,Midwest,40.29,2
2023-03-21,2023-03,Electronics,Laptops,West,1018.33,2
2023-03-20,2023-03,Electronics,Headphones,Northeast,257.56,3
2023-03-17,2023-03,Electronics,Headphones,Southeast,416.4,2
2023-03-26,2023-03,Clothing,Shirts,Midwest,95.53,2
2023-03-30,2023-03,Electronics,Laptops,Midwest,1140.3,2
2023-03-10,2023-03,Clothing,Shoes,Midwest,168.72,4
2023-03-26,2023-03,Sports,Fitness,Southeast,920.5,4
2023-03-21,2023-03,Sports,Outdoor,Northeast,77.17,2
2023-03-12,2023-03,Electronics,Laptops,Midwest,916.19,1
2023-03-21,2023-03,Clothing,Shirts,West,23.71,1
2023-03-16,2023-03,Home,Kitchen,Southeast,1022.51,4
2023-03-30,2023-03,Sports,Fitness,Midwest,24.85,1
2023-03-26,2023-03,Sports,Apparel,Northeast,48.42,1
2023-03-20,2023-03,Electronics,Headphones,Midwest,980.76,4
2023-03-20,2023-03,Sports,Fitness,West,108.69,1
2023-03-22,2023-03,Sports,Fitness,Northeast,261.16,2
2023-03-17,2023-03,Clothing,Shoes,Southeast,118.21,1
2023-03-01,2023-03,Sports,Apparel,West,107.07,3
2023-03-10,2023-03,Electronics,Laptops,Southeast,2230.64,2
2023-03-05,2023-03,Clothing,Pants,West,152.31,2
2023-03-24,2023-03,Home,Furniture,Midwest,942.7,3
2023-03-24,2023-03,Electronics,Headphones,Southeast,85.76,1
2023-03-22,2023-03,Electronics,Headphones,Southeast,87.86,1
2023-03-12,2023-03,Electronics,Laptops,Midwest,5460.41,4
2023-03-26,2023-03,Home,Furniture,Northeast,505.09,2
2023-03-29,2023-03,Home,Kitchen,Southeast,124.98,1
2023-03-18,2023-03,Electronics,Phones,Midwest,1616.15,4
2023-03-31,2023-03,Sports,Apparel,West,29.87,1
2023-03-18,2023-03,Clothing,Pants,Midwest,173.62,4
2023-03-15,2023-03,Sports,Apparel,Southeast,67.86,3
2023-03-10,2023-03,Clothing,Shirts,Northeast,92.63,4
2023-03-29,2023-03,Clothing,Shirts,Southeast,37.88,2
2023-03-14,2023-03,Home,Furniture,Southeast,2766.91,3
2023-03-07,2023-03,Home,Furniture,Midwest,339.12,1
2023-03-10,2023-03,Home,Furniture,Northeast,342.82,1
2023-03-02,2023-03,Sports,Apparel,Southeast,296.18,4
2023-03-02,2023-03,Electronics,Laptops,West,1486.85,1
2023-03-20,2023-03,Clothing,Shirts,Midwest,27.4,1
2023-03-04,2023-03,Clothing,Shoes,Southeast,113.38,2
2023-03-10,2023-03,Sports,Apparel,Southeast,320.07,4
2023-03-19,2023-03,Electronics,Headphones,West,759.6,4
2023-03-21,2023-03,Sports,Apparel,Midwest,65.91,1
