region,product,revenue,units,quarter
North,Widget A,12500,250,Q1
North,Widget B,8300,166,Q1
North,Widget C,15200,304,Q1
South,Widget A,9800,196,Q1
South,Widget B,11400,228,Q1
South,Widget C,7600,152,Q1
East,Widget A,14100,282,Q1
East,Widget B,6700,134,Q1
East,Widget C,10900,218,Q1
West,Widget A,11200,224,Q1
West,Widget B,13500,270,Q1
West,Widget C,8800,176,Q1
North,Widget A,13800,276,Q2
North,Widget B,9100,182,Q2
North,Widget C,16500,330,Q2
South,Widget A,10500,210,Q2
South,Widget B,12200,244,Q2
South,Widget C,8400,168,Q2
East,Widget A,15300,306,Q2
East,Widget B,7500,150,Q2
East,Widget C,11800,236,Q2
West,Widget A,12100,242,Q2
West,Widget B,14200,284,Q2
West,Widget C,9600,192,Q2
